period,lower,mean,upper,label,experiment_id,run_id,subba
2024-06-23 15:00:00,9426.428288983168,10435.798626272848,11834.08494624097,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 16:00:00,9823.77939393786,10933.437111394414,12189.63733901434,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 17:00:00,10084.502731024488,11245.692630178422,12284.229090208391,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 18:00:00,9658.328629614914,10842.110132356438,11865.439297346991,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 19:00:00,9394.727198836194,10513.746747913185,11682.60910877882,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 20:00:00,9320.346028294178,10683.453058063476,11606.531746355571,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 21:00:00,9397.28702530167,10623.522318751722,11822.697598735844,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 22:00:00,9579.790856194502,10773.952719566558,12097.621420647987,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 23:00:00,9828.896131624677,11189.99515806722,12696.854253100542,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 00:00:00,15085.771802012148,15479.319536883504,15937.043395622622,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 01:00:00,15244.550442738677,15932.487913826302,16621.808556392934,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 02:00:00,15311.65632223967,16217.508170051486,17228.0739702334,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 03:00:00,15113.352220947216,16232.510539044157,17650.096884206017,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 04:00:00,14539.933318921672,15785.72878606732,17247.691309545426,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 05:00:00,14068.870909335184,15207.081575838403,16874.654093222965,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 06:00:00,13451.49752857254,14613.482567268617,16147.545761786194,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
2024-06-23 07:00:00,12609.70054837924,13870.78447575032,15163.218125343095,2024-06-23,360976983442524906,f17b85fee6e6412b9017391555b775c1,SCE
